mode,day,workload_type,num_jobs,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_minutes,throughput_jobs_per_hour,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std
decentralized,bursty_high_stress,homogeneous_short,1000,EmbeddingBidding,1000,1000,0,1.0,1590.5266666666669,37.72335368997271,163.63331670000005,180.6901408999873,10.061784909999998,77.92916024092305,153.5712613,162.0862023182871,0.000609850908,2.382347238527642e-05
decentralized,bursty_high_stress,homogeneous_short,1000,HeuristicBidding,1000,1000,0,1.0,1590.5266666666669,37.72335368997271,138.60901974,175.07200056026528,9.3468,59.082577471880164,129.26259958,151.19571732942845,0.00027058168100000003,1.8414386869646893e-05
decentralized,bursty_high_stress,homogeneous_short,1000,PureLocal,1000,1000,0,1.0,1590.755,37.717938966088425,223.93589110000008,312.697389710264,54.269059,250.1065661891435,169.66751954,173.97505181871117,5.255660509999999e-05,8.344798281969786e-07
decentralized,bursty_high_stress,homogeneous_short,1000,RandomBidding,1000,737,263,0.737,1590.5266666666669,27.802111669509888,192.15739240162827,202.09524015864707,24.41425187924016,105.56356690139859,167.74419717774762,170.41946108821156,0.00024909867978290364,2.3531602764964446e-05
decentralized,bursty_high_stress,mixed_20_80,1000,EmbeddingBidding,1000,1000,0,1.0,4321.15,13.885192599192345,18965.055963200004,37310.55951696509,17587.892209229998,36553.89688242929,1377.16498902,1558.1563694267652,0.000602353863,3.57507673675349e-05
decentralized,bursty_high_stress,mixed_20_80,1000,HeuristicBidding,1000,1000,0,1.0,4220.683333333333,14.215707567100115,21766.414356409998,40843.777165600586,20269.29258945,40157.95220114184,1497.12837728,1694.5498982606873,0.00027050522,1.9618344920584483e-05
decentralized,bursty_high_stress,mixed_20_80,1000,PureLocal,1000,1000,0,1.0,3205.1,18.72016473744969,21914.8115111,33007.059598362895,20354.10886798,32223.03766600742,1560.69751409,1686.8278905236782,5.276002519999999e-05,1.2167572855820411e-06
decentralized,bursty_high_stress,mixed_20_80,1000,RandomBidding,1000,553,447,0.553,2768.6666666666665,11.984107873826149,8968.618837197107,19960.327866708154,7548.861237432188,19078.16989574582,1419.753799819168,1624.9393581336556,0.0002510968047016275,2.6893588755706532e-05
decentralized,bursty_high_stress,mixed_80_20,1000,EmbeddingBidding,1000,1000,0,1.0,1652.995,36.297750446916055,559.1562085,1545.833238237604,122.15404115,902.1975488270979,437.00084936,898.9403884497676,0.0006054859540000001,2.7296568259849967e-05
decentralized,bursty_high_stress,mixed_80_20,1000,HeuristicBidding,1000,1000,0,1.0,1652.995,36.297750446916055,589.8904973900002,1598.2529578878627,166.12736338,1085.260927598143,423.76149296,924.707213069427,0.00026925107199999996,1.7615897779147716e-05
