System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,153,47,65419.6,0.0007,4.54,0.08,306.59,306.59,0.0027
Aurora,528,1142,93643.0,0.0122,0.81,0.01,53.66,53.66,0.0039
Crux,133,71,74281.5,0.001,12.19,0.06,251.87,251.86,0.0036
Frontier,528,505,88423.2,0.0057,1.74,0.04,207.47,207.46,0.0043
Perlmutter-Phase-1,427,155,82938.52,0.0019,4.21,0.02,258.98,258.98,0.0031
Perlmutter-Phase-2,231,80,73767.8,0.0011,1.08,0.0,213.81,213.81,0.0036
