System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,198,43,101203.0,0.0004,25.4,0.09,5108.15,5108.14,0.0001
Aurora,756,1360,85960.56,0.0158,16.29,0.01,826.01,826.01,0.0001
Crux,217,92,82377.3,0.0011,19.83,0.05,1687.5,1687.5,0.0001
Frontier,740,991,89912.5,0.011,16.45,0.02,1073.09,1073.1,0.0001
Perlmutter-Phase-1,617,163,96038.3,0.0017,30.76,0.01,2225.69,2225.69,0.0001
Perlmutter-Phase-2,352,231,93044.7,0.0025,21.13,0.01,1821.15,1821.15,0.0001
