System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,3,1,46750.04,0.0,84.09,0.17,46750.04,46750.0,0.0001
Aurora,16,26,86208.01,0.0003,15.58,0.01,5813.54,5813.54,0.0001
Frontier,13,19,34048.87,0.0006,42.1,0.04,7450.78,7450.79,0.0001
Perlmutter-Phase-1,11,2,27070.58,0.0001,69.23,0.01,12347.59,12347.6,0.0001
Perlmutter-Phase-2,11,6,37565.65,0.0002,57.0,0.01,16458.12,12094.9,0.0001
