System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,3,2,47580.17,4.2e-05,80.02,0.03,24675.0,24675.0,0.0001
Aurora,22,40,81711.82,0.00049,24.79,0.01,5186.59,5040.0,0.0001
Crux,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontier,35,43,95536.0,0.00045,26.12,0.03,6765.56,6252.62,0.0001
Perlmutter-Phase-1,29,9,76174.21,0.000118,80.8,0.01,16759.99,10180.49,0.0001
Perlmutter-Phase-2,21,18,71261.35,0.000253,70.58,0.01,15750.25,11239.79,0.0001
