System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,17,5,108081.5,4.6e-05,38.07,0.3,21210.02,21210.0,0.0001
Aurora,67,105,100672.0,0.001043,13.94,0.01,2114.75,2114.74,0.0001
Crux,19,22,52764.6,0.000417,41.4,0.01,1843.37,1843.36,0.0001
Frontier,60,85,87537.1,0.000971,15.72,0.01,2162.08,2162.07,0.0001
Perlmutter-Phase-1,55,14,57236.8,0.000245,45.59,0.0,4998.59,4998.61,0.0001
Perlmutter-Phase-2,33,20,59108.7,0.000338,23.54,0.01,4927.03,4927.04,0.0001
