System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Aurora,13,45,101360.0,0.0004,17.95,0.01,5004.36,5004.27,0.0936
Crux,2,1,540.0,0.0019,12.11,0.09,540.0,540.0,0.0854
Frontier,19,17,50692.2,0.0003,22.44,0.03,6390.28,6390.17,0.0941
Perlmutter-Phase-1,19,1,13961.1,0.0001,44.34,0.0,13961.1,13961.0,0.0941
Perlmutter-Phase-2,10,3,36959.0,0.0001,15.55,0.0,10445.03,10444.89,0.0927
