System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,48,27,81027.3,0.0003,26.29,0.8,3433.75,1032.67,0.0006
Aurora,327,360,97650.5,0.0037,39.05,0.27,2655.38,565.03,0.0006
Crux,16,28,22005.6,0.0013,9.87,0.22,211.27,153.73,0.0006
Frontier,329,328,169301.0,0.0019,91.71,1.15,34373.83,2033.28,0.0005
Perlmutter-Phase-1,140,66,79030.5,0.0008,70.59,0.36,8469.33,1959.84,0.0006
Perlmutter-Phase-2,140,191,180031.0,0.0011,85.62,0.25,35996.89,1948.49,0.0006
