System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,26,18,53132.9,0.0003,55.16,1.46,5108.99,2464.53,0.0003
Aurora,359,426,93912.4,0.0045,52.53,0.36,1691.64,610.64,0.0003
Frontier,330,349,229446.0,0.0015,86.78,1.11,41720.34,2421.71,0.0002
Perlmutter-Phase-1,127,58,114741.5,0.0005,79.86,0.66,25301.01,2960.69,0.0003
Perlmutter-Phase-2,158,149,203427.0,0.0007,79.45,0.2,38201.88,2590.21,0.0003
