System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,76,78,74777.1,0.001,8.52,0.56,239.36,229.65,0.0006
Aurora,276,312,93234.0,0.0033,14.23,0.11,336.94,251.38,0.0005
Crux,68,39,82225.2,0.0005,2.02,0.08,183.75,126.71,0.0006
Frontier,257,327,95927.0,0.0034,33.59,0.49,885.57,641.02,0.0005
Perlmutter-Phase-1,193,86,89542.2,0.001,14.42,0.08,534.3,533.22,0.0005
Perlmutter-Phase-2,130,158,86543.7,0.0018,26.05,0.11,994.82,565.79,0.0006
