System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,40,40,84103.22,0.0005,57.77,1.06,5466.26,1657.53,0.0001
Aurora,486,486,87115.1,0.0056,61.16,0.41,2786.35,587.3,0.0001
Crux,18,18,52352.2,0.0003,2.95,0.04,153.13,153.13,0.0001
Frontier,234,234,133501.0,0.0018,79.37,1.34,14652.37,2312.14,0.0001
Perlmutter-Phase-1,80,80,119818.3,0.0007,75.83,0.43,11547.94,1870.88,0.0001
Perlmutter-Phase-2,142,142,164117.0,0.0009,76.93,0.18,19235.21,1847.26,0.0001
