System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,19,32,91162.2,0.0004,64.72,1.82,9936.36,2512.24,0.0003
Aurora,361,470,95635.4,0.0049,72.59,0.43,4487.18,691.39,0.0003
Frontier,330,213,130882.0,0.0016,88.18,1.42,17886.26,2651.23,0.0003
Perlmutter-Phase-1,129,50,93849.3,0.0005,86.86,0.39,15391.17,3011.02,0.0003
Perlmutter-Phase-2,161,235,283262.0,0.0008,86.8,0.21,60083.43,2281.95,0.0003
