System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,198,338,399609.54,0.000846,85.58,0.12,141390.25,5144.67,0.0014
Aurora,756,903,97577.76,0.009254,9.4,0.01,1139.47,812.04,0.001
Crux,217,49,93907.62,0.000522,15.01,0.04,2156.83,1946.2,0.0011
Frontier,740,928,99296.8,0.009346,14.05,0.02,1396.61,1124.06,0.0011
Perlmutter-Phase-1,617,170,97619.88,0.001741,27.45,0.0,4566.31,2202.22,0.001
Perlmutter-Phase-2,352,492,96697.92,0.005088,38.38,0.01,9487.73,1716.3,0.0012
