System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,198,198,232661.94,0.000851,86.52,0.09,65987.47,5136.11,0.0001
Aurora,756,756,98668.92,0.007662,7.68,0.0,917.16,850.57,0.0001
Crux,217,217,260429.37,0.000833,77.06,0.03,64053.81,1759.6,0.0001
Frontier,740,740,97224.02,0.007611,10.95,0.02,1330.78,1066.21,0.0001
Perlmutter-Phase-1,617,617,121609.46,0.005074,94.59,0.02,26677.53,2226.79,0.0001
Perlmutter-Phase-2,352,352,98392.8,0.003577,26.76,0.01,3545.73,1770.67,0.0001
