System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,198,198,242042.19,0.000818,83.17,0.09,57624.32,5136.11,0.0001
Aurora,756,756,86664.0,0.008723,8.74,0.0,850.57,850.57,0.0001
Crux,217,217,269745.0,0.000804,74.4,0.03,61319.65,1759.6,0.0001
Frontier,740,740,87011.4,0.008505,12.24,0.02,1066.21,1066.21,0.0001
Perlmutter-Phase-1,617,617,136157.0,0.004532,84.48,0.02,22861.65,2226.79,0.0001
Perlmutter-Phase-2,352,352,88148.7,0.003993,29.88,0.01,1771.02,1770.67,0.0001
