System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,350,16,55824.29,0.0003,32.05,0.06,5962.59,5378.12,0.0012
Aurora,1252,3385,97893.51,0.0346,32.83,0.02,3879.94,781.37,0.001
Crux,342,23,57230.7,0.0004,33.61,0.03,2695.24,2472.26,0.0015
Frontier,1238,1119,91289.37,0.0123,19.01,0.02,1337.23,1185.66,0.0009
Perlmutter-Phase-1,1031,72,54765.82,0.0013,21.89,0.0,2729.59,2529.27,0.0008
Perlmutter-Phase-2,587,185,56064.76,0.0033,24.98,0.0,2310.48,2036.0,0.0009
