System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,3,2,55800.04,0.0,73.5,0.03,32116.11,27900.0,0.0003
Aurora,22,57,95197.85,0.0006,27.57,0.01,5801.75,4650.25,0.0003
Crux,2,5,47820.57,0.0001,6.85,0.0,2200.02,1850.4,0.0003
Frontier,35,33,77914.71,0.0004,27.56,0.02,6619.75,6589.01,0.0003
Perlmutter-Phase-1,29,6,79631.45,0.0001,62.4,0.03,25655.29,18837.8,0.0003
Perlmutter-Phase-2,21,9,58832.73,0.0002,43.47,0.0,12771.42,12771.42,0.0003
