System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,4,4,163949.9,0.0,87.44,0.07,104658.6,40987.5,0.0001
Aurora,25,25,100922.61,0.0002,12.62,0.01,6082.25,6082.24,0.0001
Frontier,25,25,72262.34,0.0003,27.6,0.03,8658.61,7964.2,0.0001
Perlmutter-Phase-1,19,19,213020.97,0.0001,78.28,0.03,80246.89,15844.16,0.0001
Perlmutter-Phase-2,18,18,87242.13,0.0002,80.97,0.01,29164.59,12909.17,0.0001
