System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,4,1,756.0,0.0013,85.65,0.08,756.0,756.0,0.0002
Aurora,13,26,71309.3,0.0004,0.57,0.0,194.53,194.52,0.0004
Crux,2,1,36.0,0.0278,12.11,0.09,36.0,36.0,0.0003
Frontier,19,24,86471.9,0.0003,1.62,0.0,593.46,593.47,0.0003
Perlmutter-Phase-1,19,11,74836.5,0.0001,5.81,0.0,768.01,768.0,0.0003
Perlmutter-Phase-2,10,4,78857.3,0.0001,1.12,0.0,641.1,641.1,0.0003
