System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,31,31,67554.4,0.0005,21.49,0.59,1735.44,723.06,0.0001
Aurora,256,256,85266.6,0.003,28.75,0.21,1483.99,593.88,0.0001
Crux,11,11,53367.1,0.0002,1.59,0.03,234.4,209.24,0.0001
Frontier,254,254,105884.0,0.0024,87.49,1.6,10212.45,2017.31,0.0001
Perlmutter-Phase-1,141,141,199512.0,0.0007,78.13,0.49,33483.12,1949.45,0.0001
Perlmutter-Phase-2,113,113,97217.4,0.0012,72.52,0.24,7665.08,1549.19,0.0001
