System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,4,1,1500.0,0.0007,4.4,0.09,1500.0,1500.0,0.0006
Aurora,13,19,60388.51,0.0003,17.14,0.01,5344.47,5301.47,0.0012
Frontier,19,35,70452.27,0.0005,27.74,0.02,6743.2,6405.28,0.0019
Perlmutter-Phase-1,19,2,41723.14,0.0,29.61,0.01,9076.82,9076.84,0.0021
Perlmutter-Phase-2,10,10,56827.73,0.0002,39.35,0.01,11573.26,11573.27,0.0018
