System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,3,1,40300.01,2.5e-05,68.47,0.02,40300.01,40300.0,0.0003
Aurora,16,24,51674.78,0.000464,23.1,0.01,5548.33,5548.33,0.0003
Frontier,13,20,88148.27,0.000227,17.44,0.02,7855.43,7855.42,0.0003
Perlmutter-Phase-1,11,4,31529.92,0.000127,89.89,0.02,16104.9,15398.8,0.0003
Perlmutter-Phase-2,11,5,80881.16,6.2e-05,30.62,0.0,16249.93,11751.42,0.0003
