System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,3,3,82211.1,3.6e-05,60.9,0.07,41295.13,28033.33,0.0001
Aurora,22,22,82215.51,0.000268,12.21,0.0,4719.27,4719.27,0.0001
Crux,2,2,4694.76,0.000426,19.72,0.02,1989.0,1989.0,0.0001
Frontier,35,35,76702.75,0.000456,32.09,0.03,7538.95,6181.54,0.0001
Perlmutter-Phase-1,29,29,264293.84,0.00011,80.53,0.02,98178.06,14502.94,0.0001
Perlmutter-Phase-2,21,21,83528.97,0.000251,82.4,0.01,27153.95,10696.79,0.0001
