System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,17,17,54140.6,0.0003,16.84,0.07,4902.94,4902.94,0.0012
Aurora,67,52,97072.0,0.0005,11.95,0.01,2701.55,2701.54,0.0014
Crux,19,2,9881.8,0.0002,0.99,0.02,2556.05,2556.0,0.0006
Frontier,60,118,87537.1,0.0013,23.34,0.04,2637.04,2637.04,0.0018
Perlmutter-Phase-1,55,31,81346.1,0.0004,5.69,0.0,2479.06,2479.07,0.0012
Perlmutter-Phase-2,33,31,77049.8,0.0004,15.04,0.0,3433.52,3433.51,0.0013
