System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,17,17,142573.5,0.000119,67.96,0.05,16865.54,11197.06,0.0001
Aurora,67,67,87064.0,0.00077,8.32,0.0,2011.11,2011.1,0.0001
Crux,19,19,48833.8,0.000389,35.26,0.01,2499.64,1908.95,0.0001
Frontier,60,60,87296.4,0.000687,11.87,0.02,2696.97,2696.96,0.0001
Perlmutter-Phase-1,55,55,118466.0,0.000464,62.67,0.03,9505.95,4044.22,0.0001
Perlmutter-Phase-2,33,33,93496.4,0.000353,65.56,0.01,9790.37,5528.02,0.0001
