System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,3,3,121088.0,2.5e-05,72.17,0.09,52504.97,38566.67,0.0001
Aurora,16,16,95728.0,0.000167,9.27,0.0,5496.0,5496.0,0.0001
Frontier,13,13,72871.9,0.000178,13.08,0.01,7798.57,7798.57,0.0001
Perlmutter-Phase-1,11,11,137985.3,8e-05,75.9,0.02,64661.35,16008.43,0.0001
Perlmutter-Phase-2,11,11,99478.0,0.000111,43.17,0.0,13911.5,12227.65,0.0001
