System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,350,63,90640.0,0.0007,38.0,0.14,4869.06,4869.05,0.0067
Aurora,1252,2323,90105.4,0.0258,26.13,0.01,820.59,820.58,0.0043
Crux,342,147,97920.0,0.0015,28.39,0.09,1780.05,1780.04,0.005
Frontier,1238,1652,92175.8,0.0179,26.68,0.04,1080.76,1080.75,0.0043
Perlmutter-Phase-1,1031,238,95808.91,0.0025,42.25,0.01,2195.13,2195.12,0.0043
Perlmutter-Phase-2,587,377,97916.3,0.0039,30.64,0.01,1890.09,1890.08,0.0051
