System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,350,23,64785.65,0.0004,27.64,0.07,5069.57,5069.57,0.0003
Aurora,1252,3260,97730.21,0.0334,32.38,0.02,4123.32,784.27,0.0003
Crux,342,43,58124.28,0.0007,34.28,0.05,2708.11,2131.12,0.0003
Frontier,1238,1145,98471.89,0.0116,18.01,0.03,1253.79,1194.81,0.0003
Perlmutter-Phase-1,1031,94,55321.25,0.0017,27.32,0.01,2367.95,2201.43,0.0003
Perlmutter-Phase-2,587,235,56959.32,0.0041,25.53,0.01,1882.68,1876.67,0.0003
