System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,4,2,115249.94,0.0,60.75,0.04,67641.77,57625.0,0.0104
Aurora,25,37,100859.0,0.0004,20.2,0.01,6025.47,5910.49,0.013
Frontier,25,30,75560.85,0.0004,29.61,0.04,8078.19,7630.87,0.0131
Perlmutter-Phase-1,19,10,110352.23,0.0001,72.84,0.01,31422.92,15490.97,0.0108
Perlmutter-Phase-2,18,12,67061.41,0.0002,58.93,0.01,16675.41,14040.3,0.0106
