System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,93,101,63139.2,0.0016,4.57,0.42,165.01,135.07,0.0006
Aurora,250,299,85263.4,0.0035,0.34,0.01,72.43,72.43,0.0006
Crux,70,28,82364.4,0.0003,2.07,0.07,153.51,132.47,0.0006
Frontier,259,333,81197.9,0.0041,0.83,0.02,118.28,117.76,0.0006
Perlmutter-Phase-1,208,82,74360.2,0.0011,2.98,0.01,347.08,321.63,0.0006
Perlmutter-Phase-2,120,157,85819.4,0.0018,2.04,0.0,262.59,255.12,0.0006
