System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,17,17,125399.78,0.0001,77.26,0.06,22351.13,11197.06,0.0001
Aurora,67,67,95398.22,0.0007,7.6,0.0,2011.1,2011.1,0.0001
Crux,19,19,49109.66,0.0004,35.06,0.01,3641.33,1908.95,0.0001
Frontier,60,60,87330.27,0.0007,11.86,0.02,2696.97,2696.96,0.0001
Perlmutter-Phase-1,55,55,91377.66,0.0006,81.25,0.04,9657.95,4044.22,0.0001
Perlmutter-Phase-2,33,33,84800.57,0.0004,72.28,0.01,9115.6,5528.02,0.0001
