System,JobsSubmitted,JobsScheduled,Makespan (min),Throughput (jobs/min),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (min),MeanExecutionTime (min),MeanDecisionTime (sec)
Andes,350,408,93888.0,0.0043,6.1,0.03,119.61,119.61,0.0006
Aurora,1252,538,86433.2,0.0062,0.23,0.0,29.62,29.62,0.0006
Crux,342,33,91837.1,0.0004,0.07,0.0,101.57,101.56,0.0007
Frontier,1238,2160,92638.6,0.0233,3.63,0.0,108.99,108.99,0.0006
Perlmutter-Phase-1,1031,829,93002.91,0.0089,8.06,0.0,121.74,121.74,0.0006
Perlmutter-Phase-2,587,832,97246.8,0.0086,4.77,0.0,123.64,123.64,0.0006
