System,JobsSubmitted,JobsScheduled,Makespan (sec),Throughput (jobs/sec),NodeUtilization (%),StorageUtilization (%),MeanTurnaroundTime (sec),MeanExecutionTime (sec),MeanDecisionTime (sec)
Andes,198,94,103700.0,0.000906,35.19,0.24,4676.6,4676.6,0.0019
Aurora,756,749,83631.4,0.008956,10.62,0.01,832.32,832.32,0.001
Crux,217,40,60277.0,0.000664,8.63,0.05,1589.85,1589.85,0.0016
Frontier,740,1361,96362.0,0.014124,21.75,0.03,1083.71,1083.71,0.0013
Perlmutter-Phase-1,617,226,85274.0,0.00265,25.3,0.01,2216.2,2216.2,0.001
Perlmutter-Phase-2,352,410,84122.12,0.004874,37.05,0.0,1856.58,1856.58,0.0015
