mode,day,workload_type,num_jobs,rho,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_seconds,throughput_jobs_per_second,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std,makespan_seconds_pct_vs_purelocal,waiting_mean_pct_vs_purelocal,execution_mean_pct_vs_purelocal,turnaround_mean_pct_vs_purelocal
centralized,business,small_short,2880,0.9,EmbeddingBidding,2880,2880,0,1.0,103700.0,0.02777242044358727,1341.5246944444445,1170.261368458755,0.0,0.0,1341.5236951388888,1170.26048645127,7.810445416666665e-05,2.6122025084438995e-09,-4.86% ↓,-75.51% ↓,-9.98% ↓,-50.16% ↓
centralized,business,small_short,2880,0.9,HeuristicBidding,2880,2880,0,1.0,99638.3,0.02890454774920889,1110.8375972222223,950.8947520797162,0.0,0.0,1110.837765625,950.8942886866175,7.810445416666665e-05,2.6122025084438995e-09,-26.46% ↓,-84.34% ↓,-9.41% ↓,-55.35% ↓
centralized,business,small_short,4800,1.5,EmbeddingBidding,4800,4800,0,1.0,109200.0,0.04395604395604396,1298.3870833333333,1156.5594628141866,0.0,0.0,1298.3874854166666,1156.5598192482241,7.810474358333333e-05,7.670590214156873e-09,,,,
centralized,business,small_short,4800,1.5,HeuristicBidding,4800,4800,0,1.0,109200.0,0.04395604395604396,1093.86006875,931.3289179458252,0.0,0.0,1093.8600102083335,931.3291647039147,7.810474358333333e-05,7.670590214156873e-09,,,,
decentralized,bursty_high_stress,large_long,54,0.9,EmbeddingBidding,54,54,0,1.0,88198.706,0.0006122538804594253,8549.530092592591,5313.247550892268,417.8085185185185,2170.0300924775534,8131.720000000001,4681.147971535542,0.0027407757777777775,0.004181802998801782,-63.66% ↓,-100.0% ↓,-28.13% ↓,-76.7% ↓
decentralized,bursty_high_stress,large_long,54,0.9,HeuristicBidding,54,54,0,1.0,88198.706,0.0006122538804594253,8819.219537037035,6136.372948104391,468.832962962963,2187.2472645000053,8350.384259259261,5576.194713928467,0.00027150977777777775,1.7102571048763028e-05,-63.66% ↓,-99.97% ↓,-34.32% ↓,-78.69% ↓
decentralized,bursty_high_stress,large_long,54,0.9,PureLocal,54,54,0,1.0,129065.206,0.0004183931647697521,23957.03712962963,26946.046509128726,12556.768703703703,22075.878226335728,11400.263703703702,8170.153919518977,5.2084300000000005e-05,6.839891862029668e-21,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,large_long,91,1.5,EmbeddingBidding,91,91,0,1.0,103333.974,0.0008806397013241743,11107.251362637362,8033.868717245301,2753.5884615384616,5901.459108202521,8353.661208791207,3949.4454544437376,0.00220886510989011,0.0041692719596468945,,,,
decentralized,bursty_high_stress,large_long,91,1.5,HeuristicBidding,91,91,0,1.0,145639.974,0.0006248284554074419,14593.0961978022,19447.68257573049,4650.441505494506,13499.082006541697,9942.655934065933,9077.27980966716,0.0002728617802197802,1.7887395067043532e-05,,,,
decentralized,bursty_high_stress,large_long,91,1.5,PureLocal,91,91,0,1.0,213020.974,0.00042718798196838593,31173.728615384614,42982.02131425689,19651.607252747253,38954.67687668282,11522.143626373625,7885.838422243667,5.208429999999998e-05,2.044141647535366e-20,,,,
