mode,day,workload_type,num_jobs,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_minutes,throughput_jobs_per_hour,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std
decentralized,bursty_high_stress,homogeneous_short,2000,EmbeddingBidding,2000,2000,0,1.0,1437.715,83.46577729243975,187.58355209999996,242.39925499699095,36.993517958,152.93218747335186,150.580701625,161.78450438905213,0.01024141124,0.003381655233197504
decentralized,bursty_high_stress,homogeneous_short,2000,HeuristicBidding,2000,2000,0,1.0,1437.715,83.46577729243975,159.17274468999992,250.646961893435,30.424934650000004,165.55662494101125,128.74600442000002,159.55257881325008,0.0015535714135,0.0004922681452523529
decentralized,bursty_high_stress,homogeneous_short,2000,PureLocal,2000,2000,0,1.0,1437.715,83.46577729243975,292.18903636,489.2904170130292,119.92597020499998,416.8771940768039,172.26353179,177.79383004995344,5.318694909999999e-05,1.917496641510564e-06
decentralized,bursty_high_stress,mixed_20_80,2000,EmbeddingBidding,2000,2000,0,1.0,10224.516666666666,11.73649610169022,62563.24232445,104554.18560215739,61095.27409089901,103817.51606022187,1467.9550156100001,1553.369014245309,0.009725249980000001,0.002675291923394359
decentralized,bursty_high_stress,mixed_20_80,2000,HeuristicBidding,2000,2000,0,1.0,8783.783333333333,13.661539162130214,63250.48939395,95591.75112038184,61593.8123468945,94742.2520889008,1656.678315645,1723.5473025578683,0.0015524403544999999,0.00043747245182676643
decentralized,bursty_high_stress,mixed_20_80,2000,PureLocal,2000,2000,0,1.0,6372.4,18.831209591362754,50020.262023055,74128.11424241692,48481.919365645495,73309.29479847966,1538.3397355999998,1661.8343122199897,5.340527744999999e-05,2.339465358747355e-06
decentralized,bursty_high_stress,mixed_80_20,2000,EmbeddingBidding,2000,2000,0,1.0,1434.9350000000002,83.62748138417419,1725.6035545,5579.710569838031,1290.219632212,5048.388122892725,435.374365775,900.5195137808415,0.00985724949,0.0028736238936931955
decentralized,bursty_high_stress,mixed_80_20,2000,HeuristicBidding,2000,2000,0,1.0,1524.37,78.72104541548312,1796.6548933899999,5400.096116220498,1387.2686973385,4816.428859171673,409.38655590499997,881.203911785108,0.001556764966,0.0004814982150156971
decentralized,bursty_high_stress,mixed_80_20,2000,PureLocal,2000,2000,0,1.0,1838.65,65.26527615369973,3035.9860295900003,9618.517570996139,2509.191052465,8891.851902968594,526.7959194199999,1085.4904741031394,5.3216671049999984e-05,1.977711724607437e-06
decentralized,bursty_high_stress,only_large_long,2000,EmbeddingBidding,2000,2000,0,1.0,13149.8,9.125614077780652,111968.44823400001,157226.17719890067,110132.40006305,156715.47174841005,1836.0420965,1632.089162941422,0.009661703915,0.0026995930393437376
decentralized,bursty_high_stress,only_large_long,2000,HeuristicBidding,2000,2000,0,1.0,13781.15,8.70754617720582,134329.1443135,168145.8322184426,132190.37180998,167275.52536702153,2138.77748,1856.0371417194121,0.0015537056984999999,0.0004902214228964866
decentralized,bursty_high_stress,only_large_long,2000,PureLocal,2000,2000,0,1.0,8058.283333333334,14.891509151039202,80679.0152695,95795.87248849655,78806.4885131,95058.97978330529,1872.5340804999998,1730.1005328343113,5.3527606249999994e-05,2.551958718746648e-06
decentralized,bursty_low_stress,homogeneous_short,2000,EmbeddingBidding,2000,2000,0,1.0,1437.715,83.46577729243975,187.22649729999998,240.90137880201098,36.2351672015,147.21819639768742,150.981594275,162.1715637483202,0.010198788835000002,0.003513895526158777
decentralized,bursty_low_stress,homogeneous_short,2000,HeuristicBidding,2000,2000,0,1.0,1436.7016666666668,83.5246473113764,150.43903249999997,217.70699402761983,27.018103055,129.50542975804476,123.419376195,150.77325877396797,0.001640253025,0.0009739205006339978
decentralized,bursty_low_stress,homogeneous_short,2000,PureLocal,2000,2000,0,1.0,1437.715,83.46577729243975,284.60822135999996,470.25753075452377,112.34498120500001,398.10816881627704,172.26353178999997,177.7938300499534,5.318694909999999e-05,1.917496641510564e-06
decentralized,bursty_low_stress,mixed_20_80,2000,EmbeddingBidding,2000,2000,0,1.0,10564.233333333334,11.359082690966689,59830.48344215,106196.68795349298,58343.131902395,105470.89183414783,1487.3459148650002,1590.2238072389525,0.00966832861,0.002596230596529639
decentralized,bursty_low_stress,mixed_20_80,2000,HeuristicBidding,2000,2000,0,1.0,8362.75,14.349346805775612,48589.54319509,81122.37106411078,47022.176470515005,80307.15372189389,1567.3638076650002,1702.2703725970425,0.0015659238285,0.0004419716451752019
decentralized,bursty_low_stress,mixed_20_80,2000,PureLocal,2000,2000,0,1.0,6507.966666666666,18.438938941502467,41343.004373054995,66527.47495693922,39804.670850479,65665.36934045362,1538.3397356,1661.8343122199897,5.340527744999999e-05,2.339465358747355e-06
decentralized,bursty_low_stress,mixed_80_20,2000,EmbeddingBidding,2000,2000,0,1.0,1537.395,78.05411101245939,1368.650156,4111.9259416918585,934.758254276,3594.861788463629,433.881974225,871.0793014675912,0.01004344531,0.0031476227013285544
decentralized,bursty_low_stress,mixed_80_20,2000,HeuristicBidding,2000,2000,0,1.0,1524.37,78.72104541548312,1362.86118385,3829.6808955080305,926.733957185,3155.3545753256653,436.12625042499997,962.811483918217,0.001581162461,0.0005021063612553939
decentralized,bursty_low_stress,mixed_80_20,2000,PureLocal,2000,2000,0,1.0,1915.05,62.66154930680661,2389.3879545900004,6942.643610929251,1862.5897893094998,6258.857503214793,526.7959194199999,1085.4904741031394,5.3216671049999984e-05,1.977711724607437e-06
decentralized,bursty_low_stress,only_large_long,2000,EmbeddingBidding,2000,2000,0,1.0,12593.266666666666,9.52890168820375,92264.53816750001,134555.95681562225,90402.93807185,133876.2260720733,1861.600301,1609.0645469677077,0.009692069215,0.002526876587182298
decentralized,bursty_low_stress,only_large_long,2000,HeuristicBidding,2000,2000,0,1.0,9907.733333333334,12.111751090057597,103622.66789550001,123648.48133100074,101527.34875806999,122873.09842066384,2095.3210475,1795.6557762367083,0.0015610459214999998,0.00047919876754086264
decentralized,bursty_low_stress,only_large_long,2000,PureLocal,2000,2000,0,1.0,8085.816666666667,14.840801485729125,69167.81084450001,90852.81073315721,67295.27703515,90090.65579476795,1872.5340805,1730.1005328343113,5.3527606249999994e-05,2.551958718746648e-06
decentralized,busy,homogeneous_short,2000,EmbeddingBidding,2000,2000,0,1.0,1622.6633333333334,73.95249373971598,152.55632849999995,162.579653455303,0.0,0.0,152.54672555,162.58013405424046,0.010374454715,0.006760445814276703
decentralized,busy,homogeneous_short,2000,HeuristicBidding,2000,2000,0,1.0,1620.7166666666667,74.0413191695032,127.79519199999994,159.94442621683024,0.0,0.0,127.79272425999999,159.9440961835987,0.00390908562,0.005159297970564469
decentralized,busy,homogeneous_short,2000,PureLocal,2000,2000,0,1.0,1622.98,73.93806454793035,177.6442284999999,186.05732855167025,5.381145500000001,48.12120818668212,172.26353178999997,177.7938300499534,5.2084388799999985e-05,1.9841378383270603e-09
decentralized,busy,mixed_20_80,2000,EmbeddingBidding,2000,2000,0,1.0,10167.633333333333,11.802156516265667,52356.167204850004,99435.95925091646,50874.065115305,98733.23967300942,1482.1030046199999,1610.1126733176045,0.00944715083,0.003833693684593431
decentralized,busy,mixed_20_80,2000,HeuristicBidding,2000,2000,0,1.0,11058.516666666666,10.851364935924197,64467.02078659999,115600.89824155721,62880.206170640005,114848.8863202253,1586.796445475,1713.251236098433,0.001568748597,0.0009460023941197769
decentralized,busy,mixed_20_80,2000,PureLocal,2000,2000,0,1.0,6720.5,17.855814299531282,42073.176853,69895.7146272702,40534.839816880005,69163.87336764408,1538.3397356,1661.8343122199897,5.208438879999999e-05,1.9841378383270603e-09
decentralized,busy,mixed_80_20,2000,EmbeddingBidding,2000,2000,0,1.0,1621.32,74.01376656058027,525.09021045,1408.659192970006,117.2106693,924.3493034461084,407.868883885,805.5904465504265,0.01020059614,0.0033704313177487285
decentralized,busy,mixed_80_20,2000,HeuristicBidding,2000,2000,0,1.0,1621.32,74.01376656058027,515.3018263499999,1380.546590953659,112.5495565545,901.1774121028537,402.750609265,848.0216441730663,0.001585054241,0.0004745499161804681
